('asp-4', 'C35E7.11')
('hil-2', 'pghm-1')
('his-24', 'T10B5.4')
('htz-1', 'T05G5.5')
('knl-2', 'mksr-1')
('hil-3', 'E02A10.3')
('E01G4.5', 'dyf-6')
('C08F1.10', 'ptb-1')
('cav-1', 'sbt-1')
('ugt-50', 'mks-2')
('hmg-1.2', 'F42G8.19')
('W04A8.4', 'rgs-3')
('hmg-1.1', 'egl-21')
('ast-1', 'Y55D5A.1')
('Y75B8A.18', 'Y44A6D.2')
('ham-1', 'odr-4')
('agr-1', 'cmd-1')
('hrp-1', 'ZC13.2')
('lipl-7', 'pgal-1')
('mix-1', 'casy-1')
('act-4', 'arl-3')
('T09B4.5', 'dyf-19')
('dyf-7', 'del-3')
('mec-12', 'pdl-1')
('egl-46', 'T06G6.3')
('F48E3.6', 'F21C10.3')
('C04A11.2', 'mks-5')
('cnt-2', 'K02F2.5')
('fbxb-45', 'zig-8')
('R09B3.3', 'cab-1')
('Y45G5AM.7', 'F01E11.17')
('rab-10', 'unc-43')
('skr-21', 'pnc-1')
('mab-20', 'C46C11.3')
('pdi-2', 'tax-6')
('fbxb-88', 'F39B2.8')
('hlh-3', 'inpp-1')
('cdk-1', 'M153.4')
('F46H5.3', 'C06E2.1')
('C40A11.6', 'F07C3.2')
('rsa-2', 'his-35')
('ZK930.6', 'srr-4')
('swsn-9', 'T27C4.1')
('F58D2.2', 'unc-24')
('cyb-1', 'dmd-5')
('ZK512.1', 'Y53G8AM.4')
('Y17D7C.6', 'C50B8.4')
('C24H12.1', 'arl-13')
('T28B8.1', 'H10D18.1')
('M01D1.12', 'cdkl-1')
('pab-2', 'T14B1.1')
('div-1', 'ida-1')
('ZK973.11', 'F47G4.5')
('hmg-11', 'cysl-1')
('fbxb-44', 'twk-14')
('mis-12', 'bbs-8')
('ces-2', 'tppp-1')
('lin-17', 'F49E12.8')
('clec-266', 'cla-1')
('tbx-2', 'tbc-18')
('T16A1.10', 'F18E9.1')
('fbxb-42', 'R102.2')
('tbcb-1', 'F18A11.5')
('inx-3', 'par-5')
('tbca-1', 'aqp-12')
('K02E10.1', 'ssr-2')
('fbxb-66', 'Y48C3A.5')
('bath-38', 'F43G6.8')
('fbxb-70', 'jkk-1')
('bmk-1', 'C24A3.2')
('C01B10.6', 'flp-27')
('frm-2', 'guk-1')
('fbxb-37', 'T13C2.7')
('cle-1', 'hot-4')
('hlh-14', 'F58B4.3')
('madf-5', 'ric-3')
('smu-2', 'egl-13')
('unc-84', 'eat-6')
('sgo-1', 'K11C4.2')
('icp-1', 'nhr-52')
('aat-3', 'Y38H6C.24')
('cdh-3', 'gpc-1')
('ZK643.2', 'C35D10.12')
('gcna-1', 'his-37')
('ins-2', 'cka-2')
('kbp-2', 'C01H6.3')
('crb-1', 'M60.6')
('sto-1', 'pde-1')
('cyb-3', 'ZK813.5')
('swsn-4', 'cnb-1')
('ify-1', 'fbxb-114')
('klp-19', 'R05D7.3')
('riok-1', 'inx-19')
('T05H4.11', 'flp-34')
('C08F1.11', 'snt-4')
('cpf-1', 'Y97E10C.1')
('tba-2', 'lin-11')
('T23G7.3', 'F42C5.9')
('coel-1', 'daf-21')
('cya-1', 'nlp-3')
('eef-2', 'abts-1')
('C40A11.4', 'dyf-18')
('T24B8.5', 'clhm-1')
('T22C1.6', 'ric-4')
('unc-129', 'dmd-6')
('F26F4.8', 'lfi-1')
('F22E5.20', 'F44G4.7')
('Y43F4B.10', 'F58B4.6')
('F58D2.5', 'ZC132.11')
('sas-5', 'ZK792.7')
('ola-1', 'ten-1')
('K10G6.4', 'K08F8.7')
('Y47G6A.31', 'R11D1.12')
('Y94H6A.3', 'ifta-2')
('attf-2', 'ZK856.14')
('top-2', 'F53G12.4')
('lit-1', 'unc-36')
('Y27F2A.8', 'sox-4')
('F35G12.11', 'rpi-1')
('C06E7.4', 'nex-4')
('tads-1', 'F39H12.3')
('ral-1', 'Y47G6A.32')
('F54E7.9', 'F29A7.4')
('brd-1', 'Y57G11C.9')
('Y69A2AR.28', 'C35E7.2')
